PID,StudentName,TRUE,Score,Preferences,,
730226602,aagraham,,0,fi,left,
730238654,acolnot1,,0,fi,left,
730228690,alexisni,,0,a,left,
730165806,alyssa1,,0,bi,left,
730171436,amcph28,,0,fi,left,
730214984,anmauney,,0,fi,left,
730228132,antritt,,0,bi,left,
730234012,aracelia,,0,b,left,a
730231476,arianad,,0,fi,left,
730247247,austbrya,,0,,left,a
730246507,averyc,,0,b,left,
730242128,avif,TRUE,0,fi,left,
730241559,aybae,,0,bi,left,
730241053,baileygw,,0,bi,left,
730248213,bhayward,,0,fi,left,
730225576,breanna6,,0,bi,middle,
730246891,brenda10,,0,bi,middle,
730169419,breonna,,0,f,middle,
730270144,brettcw,,0,bi,la,
730239426,Bridger3,,0,fi,middle,
730229295,brikaug,,0,fi,middle,
730237631,brookesh,,0,fi,middle,
730243644,Bwoody21,,0,fi,middle,
730242987,bzahavi,,0,fi,middle,
730237487,cc0llins,,0,bi,middle,
730239726,cjfunk,,0,b,middle,
730269536,ckong727,,0,fi,middle,
730226796,cladixon,,0,fi,middle,
730240914,cmason99,,0,fi,middle,
730228168,crook18,,0,fi,middle,
730240372,csgood8,,0,bi,middle,
730233741,david280,,0,fi,middle,
730215147,dazzam,,0,f,middle,
730201080,depasq,,0,fi,middle,
730227963,desmondd,,0,f,middle,
730226225,dyenrin,,0,fi,middle,
730236805,eertmann,,0,fi,middle,
730282001,eliset,,0,fi,middle,
730151054,ellise,,0,f,middle,
730009161,embarcel,,0,b,la,
730247226,emr1124,,0,fi,left,
730241842,emstuth,,0,fi,left,
730243772,ericg580,,0,fi,left,
730155787,freshh2o,,0,b,left,
730234938,gedood,,0,bi,left,
730249456,graysony,,0,bi,,
730226305,griff99,,0,fi,,
730235322,hsabrina,,0,fi,right,
730234885,hunlee,,0,fi,right,
730232944,ighorak,,0,,right,
730247142,jackyae,,0,f,right,
730230172,jamie17,,0,fi,right,
730243437,jasc,,0,fi,right,
730248512,jcobbler,,0,fi,right,
730241886,jdavis00,,0,fi,,
730239558,jfox590,TRUE,0,fi,la,
730230967,jocefeas,,0,f,,
730238046,jojos,,0,f,right,
730159827,josebfri,,0,,right,
730229392,josephsf,,0,fi,right,
730249588,jrcastil,,0,,right,
730225246,jshort18,,0,fi,right,
730237331,kaitlynh,,0,bi,right,
730235945,kara07,,0,fi,right,
730224157,katant,,0,fi,right,
730236513,kaylash,,0,fi,right,
730237741,kevin07,,0,bi,,
730281207,kili,,0,,left,
730231479,kmelinda,,0,fi,left,
730242847,kobekobe,,0,f,left,
730240006,kschich,,0,fi,left,
730256248,kshores,TRUE,0,b,,a
730230139,laseale,,0,bi,left,
730237179,lhughes2,,0,fi,,
730250708,Lmims,,0,fi,,
730290096,Ltb10,,0,bi,,a
730238480,mahlonl,,0,fi,,
730225263,maiavie,,0,fi,,
730229504,makayla9,,0,f,,
730237190,mazieh5,,0,fi,,
730157348,meaghan8,,0,b,,
730248882,meagons,,0,fi,middle,
730222947,meganme1,,0,fi,middle,
730232544,meglemm,,0,bi,middle,
730243711,meilidi,,0,f,middle,
730226510,mgh99,,0,bi,middle,
730244066,millercc,,0,fi,,
730246069,mjwalyko,,0,bi,l,
730244272,mkkimble,,0,b,,
730099486,Mmauri,,0,fi,left,
730235714,mnbui,,0,bi,left,a
730153763,mnwilson,,0,f,left,
730250891,naomin,,0,f,left,
730241812,ngavino,,0,f,left,
730091382,nickquig@live.unc.edu,,0,f,left,
730236401,Njm6,,0,fi,left,
730153000,parrishg,,0,f,left,
730244726,Rawadtn,,0,f,left,
730241505,rawje,,0,fi,left,a
730235212,rooboo24,,0,fi,left,
730247725,rwillgab,,0,fi,left,
730249887,sammy805,,0,fi,left,a
730240558,sarah143,,0,fi,left,
730232548,sarahbe,,0,bi,left,
730233272,sarrog,,0,fi,left,
730148172,savannan,,0,fi,left,
730243105,savrose,,0,fi,,
730230973,schow99,,0,bi,,
730156081,sdhenley,,0,b,,
730240156,shen1,,0,f,right,
730241536,shivamb,,0,fi,right,
730019754,Songed,,0,,right,
730093000,speightk,,0,fi,right,
730281071,srobins1,,0,fi,right,
73027061,steffie1,,0,fi,right,
730141341,storrie,,0,b,,
720151302,sullivac,,0,,la,
730237479,swill024,,0,fi,la,
730072954,Taylor36,,0,fi,,
730069002,tomonf,,0,f,,
730238516,vhuang,,0,fi,,
730243054,vrj,,0,fi,right,
730237320,will2000,,0,bi,right,
730228537,xelal,,0,fi,right,
730242411,yazmyn,,0,bi,right,
730233802,yuyunshu,,0,fi,right,a
730240482,yyousef,,0,f,right,
730249351,zachaach,,0,fi,right,
730241873,laylaa,,0,,right,
730241390,melbel99,,0,,right,
730249351,zachzach,,0,,right,
730294244,aander17,,0,,right,
730088155,averyand,,0,,right,
730227061,steffie1,,0,,,
730306462,mckennaa,,0,,right,
730292810,ysakyi,,0,,right,
730172164,ebaer,,0,,right,
730235105,loganmb1,,0,,right,
730236262,abejjani,,0,,right,
730153264,andreavb,,0,,right,
730238692,ohenebak,,0,,right,
730244141,dylanb,,0,,right,
730235967,wlboone,,0,,right,
730229972,abbyrb,,0,,right,
730245633,chipb23,,0,,right,
730248049,angellia,,0,,right,
730234162,acbroud,,0,,right,
730279311,chanab,,0,,,
730233870,mburke00,,0,,,
730200986,haella,,0,,,
730234938,geodood,,0,,,
730289951,cold0rri,,0,,,
730286946,beecook,,0,,,
730221177,dacox1,,0,,right,
730241453,scraw,,0,,right,
730008347,maayadev,,0,,right,
730240514,bogued,,0,,right,
730241510,zachkd,,0,,right,
730229417,willad,,0,,right,
730281031,josiahse,,0,,right,
730230103,kelseyf,,0,,right,
730280491,rfetaw,,0,,right,
730245719,chabely,,0,,right,
730278110,finejh,,0,,right,
730247736,patriots,,0,,right,
730166800,nikyfred,,0,,right,
730228900,arfriel,,0,,,
730249927,audreyk,,0,,right,
730048355,david1,,0,,right,
730157188,rodh,,0,,right,
730245499,haley06,,0,,right,
730232984,jasonmh,,0,,right,
730235280,cass1107,,0,,right,
730226875,kekenan,,0,,right,
730240828,jackbh,,0,,right,
730097093,holmes20,,0,,right,
730232654,infinito,,0,,right,
730258925,kdariye,,0,,right,
