CID,TeamID,Attributes
00,0,f,left
01,0,f,left
02,1,f,left
03,1,f,left
04,2,f,left
05,2,a,f,left
06,3,la,f,middle
07,3,f,middle
08,4,f,middle
09,4,f,middle
010,5,f,middle
011,5,f,middle
012,6,f,middle
013,6,f,middle
014,7,a,f,middle
015,7,la,f,right
016,8,f,right
017,8,f,right
018,9,f,right
019,9,f,right
10,10,fi,left
11,10,fi,left
12,11,fi,left
13,11,fi,left
14,12,fi,left
15,12,a,fi,left
16,13,la,fi,middle
17,13,fi,middle
18,14,fi,middle
19,14,fi,middle
110,15,fi,middle
111,15,fi,middle
112,16,fi,middle
113,16,fi,middle
114,17,a,fi,middle
115,17,la,fi,right
116,18,fi,right
117,18,fi,right
118,19,fi,right
119,19,fi,right
20,20,fi,left
21,20,fi,left
22,21,fi,left
23,21,fi,left
24,22,fi,left
25,22,a,fi,left
26,23,la,fi,middle
27,23,fi,middle
28,24,fi,middle
29,24,fi,middle
210,25,fi,middle
211,25,fi,middle
212,26,fi,middle
213,26,fi,middle
214,27,a,fi,middle
215,27,la,fi,right
216,28,fi,right
217,28,fi,right
218,29,fi,right
219,29,fi,right
30,30,fi,left
31,30,fi,left
32,31,fi,left
33,31,fi,left
34,32,fi,left
35,32,a,fi,left
36,33,la,fi,middle
37,33,fi,middle
38,34,fi,middle
39,34,fi,middle
310,35,fi,middle
311,35,fi,middle
312,36,fi,middle
313,36,fi,middle
314,37,a,fi,middle
315,37,la,fi,right
316,38,fi,right
317,38,fi,right
318,39,fi,right
319,39,fi,right
40,40,fi,left
41,40,fi,left
42,41,fi,left
43,41,fi,left
44,42,fi,left
45,42,a,fi,left
46,43,la,fi,middle
47,43,fi,middle
48,44,fi,middle
49,44,fi,middle
410,45,fi,middle
411,45,fi,middle
412,46,fi,middle
413,46,fi,middle
414,47,a,fi,middle
415,47,la,fi,right
416,48,fi,right
417,48,fi,right
418,49,fi,right
419,49,fi,right
50,50,fi,left
51,50,fi,left
52,51,fi,left
53,51,fi,left
54,52,fi,left
55,52,a,fi,left
56,53,la,fi,middle
57,53,fi,middle
58,54,fi,middle
59,54,fi,middle
510,55,fi,middle
511,55,fi,middle
512,56,fi,middle
513,56,fi,middle
514,57,a,fi,middle
515,57,la,fi,right
516,58,fi,right
517,58,fi,right
518,59,fi,right
519,59,fi,right
60,60,fi,left
61,60,fi,left
62,61,fi,left
63,61,fi,left
64,62,fi,left
65,62,a,fi,left
66,63,la,fi,middle
67,63,fi,middle
68,64,fi,middle
69,64,fi,middle
610,65,fi,middle
611,65,fi,middle
612,66,fi,middle
613,66,fi,middle
614,67,a,fi,middle
615,67,la,fi,right
616,68,fi,right
617,68,fi,right
618,69,fi,right
619,69,fi,right
70,70,fi,left
71,70,fi,left
72,71,fi,left
73,71,fi,left
74,72,fi,left
75,72,a,fi,left
76,73,la,fi,middle
77,73,fi,middle
78,74,fi,middle
79,74,fi,middle
710,75,fi,middle
711,75,fi,middle
712,76,fi,middle
713,76,fi,middle
714,77,a,fi,middle
715,77,la,fi,right
716,78,fi,right
717,78,fi,right
718,79,fi,right
719,79,fi,right
80,80,fi,left
81,80,fi,left
82,81,fi,left
83,81,fi,left
84,82,fi,left
85,82,a,fi,left
86,83,la,fi,middle
87,83,fi,middle
88,84,fi,middle
89,84,fi,middle
810,85,fi,middle
811,85,fi,middle
812,86,fi,middle
813,86,fi,middle
814,87,a,fi,middle
815,87,la,fi,right
816,88,fi,right
817,88,fi,right
818,89,fi,right
819,89,fi,right
90,90,fi,left
91,90,fi,left
92,91,fi,left
93,91,fi,left
94,92,fi,left
95,92,a,fi,left
96,93,la,fi,middle
97,93,fi,middle
98,94,fi,middle
99,94,fi,middle
910,95,fi,middle
911,95,fi,middle
912,96,fi,middle
913,96,fi,middle
914,97,a,fi,middle
915,97,la,fi,right
916,98,fi,right
917,98,fi,right
918,99,fi,right
919,99,fi,right
100,100,fi,left
101,100,fi,left
102,101,fi,left
103,101,fi,left
104,102,fi,left
105,102,a,fi,left
106,103,la,fi,middle
107,103,fi,middle
108,104,fi,middle
109,104,fi,middle
1010,105,fi,middle
1011,105,fi,middle
1012,106,fi,middle
1013,106,fi,middle
1014,107,a,fi,middle
1015,107,la,fi,right
1016,108,fi,right
1017,108,fi,right
1018,109,fi,right
1019,109,fi,right
110,110,bi,left
111,110,bi,left
112,111,bi,left
113,111,bi,left
114,112,bi,left
115,112,a,bi,left
116,113,la,bi,middle
117,113,bi,middle
118,114,bi,middle
119,114,bi,middle
1110,115,bi,middle
1111,115,bi,middle
1112,116,bi,middle
1113,116,bi,middle
1114,117,a,bi,middle
1115,117,la,bi,right
1116,118,bi,right
1117,118,bi,right
1118,119,bi,right
1119,119,bi,right
120,120,bi,left
121,120,bi,left
122,121,bi,left
123,121,bi,left
124,122,bi,left
125,122,a,bi,left
126,123,la,bi,middle
127,123,bi,middle
128,124,bi,middle
129,124,bi,middle
1210,125,bi,middle
1211,125,bi,middle
1212,126,bi,middle
1213,126,bi,middle
1214,127,a,bi,middle
1215,127,la,bi,right
1216,128,bi,right
1217,128,bi,right
1218,129,bi,right
1219,129,bi,right
130,130,bi,left
131,130,bi,left
132,131,bi,left
133,131,bi,left
134,132,bi,left
135,132,a,bi,left
136,133,la,bi,middle
137,133,bi,middle
138,134,bi,middle
139,134,bi,middle
1310,135,bi,middle
1311,135,bi,middle
1312,136,bi,middle
1313,136,bi,middle
1314,137,a,bi,middle
1315,137,la,bi,right
1316,138,bi,right
1317,138,bi,right
1318,139,bi,right
1319,139,bi,right
140,140,bi,left
141,140,bi,left
142,141,bi,left
143,141,bi,left
144,142,bi,left
145,142,a,bi,left
146,143,la,bi,middle
147,143,bi,middle
148,144,bi,middle
149,144,bi,middle
1410,145,bi,middle
1411,145,bi,middle
1412,146,bi,middle
1413,146,bi,middle
1414,147,a,bi,middle
1415,147,la,bi,right
1416,148,bi,right
1417,148,bi,right
1418,149,bi,right
1419,149,bi,right
150,150,bi,left
151,150,bi,left
152,151,bi,left
153,151,bi,left
154,152,bi,left
155,152,a,bi,left
156,153,la,bi,middle
157,153,bi,middle
158,154,bi,middle
159,154,bi,middle
1510,155,bi,middle
1511,155,bi,middle
1512,156,bi,middle
1513,156,bi,middle
1514,157,a,bi,middle
1515,157,la,bi,right
1516,158,bi,right
1517,158,bi,right
1518,159,bi,right
1519,159,bi,right
160,160,bi,left
161,160,bi,left
162,161,bi,left
163,161,bi,left
164,162,bi,left
165,162,a,bi,left
166,163,la,bi,middle
167,163,bi,middle
168,164,bi,middle
169,164,bi,middle
1610,165,bi,middle
1611,165,bi,middle
1612,166,bi,middle
1613,166,bi,middle
1614,167,a,bi,middle
1615,167,la,bi,right
1616,168,bi,right
1617,168,bi,right
