CID,TeamID,Attributes
0undefined,0,f,left
0undefined,0,f,left
1undefined,1,f,left
1undefined,1,f,left
2undefined,2,f,left
2undefined,2,a,f,left
3undefined,3,la,f,middle
3undefined,3,f,middle
4undefined,4,f,middle
4undefined,4,f,middle
5undefined,5,f,middle
5undefined,5,f,middle
6undefined,6,f,middle
6undefined,6,f,middle
7undefined,7,a,f,middle
7undefined,7,la,f,right
8undefined,8,f,right
8undefined,8,f,right
9undefined,9,f,right
9undefined,9,f,right
10undefined,0,fi,left
10undefined,0,fi,left
11undefined,1,fi,left
11undefined,1,fi,left
12undefined,2,fi,left
12undefined,2,a,fi,left
13undefined,3,la,fi,middle
13undefined,3,fi,middle
14undefined,4,fi,middle
14undefined,4,fi,middle
15undefined,5,fi,middle
15undefined,5,fi,middle
16undefined,6,fi,middle
16undefined,6,fi,middle
17undefined,7,a,fi,middle
17undefined,7,la,fi,right
18undefined,8,fi,right
18undefined,8,fi,right
19undefined,9,fi,right
19undefined,9,fi,right
20undefined,10,fi,left
20undefined,10,fi,left
21undefined,11,fi,left
21undefined,11,fi,left
22undefined,12,fi,left
22undefined,12,a,fi,left
23undefined,13,la,fi,middle
23undefined,13,fi,middle
24undefined,14,fi,middle
24undefined,14,fi,middle
25undefined,15,fi,middle
25undefined,15,fi,middle
26undefined,16,fi,middle
26undefined,16,fi,middle
27undefined,17,a,fi,middle
27undefined,17,la,fi,right
28undefined,18,fi,right
28undefined,18,fi,right
29undefined,19,fi,right
29undefined,19,fi,right
30undefined,10,fi,left
30undefined,10,fi,left
31undefined,11,fi,left
31undefined,11,fi,left
32undefined,12,fi,left
32undefined,12,a,fi,left
33undefined,13,la,fi,middle
33undefined,13,fi,middle
34undefined,14,fi,middle
34undefined,14,fi,middle
35undefined,15,fi,middle
35undefined,15,fi,middle
36undefined,16,fi,middle
36undefined,16,fi,middle
37undefined,17,a,fi,middle
37undefined,17,la,fi,right
38undefined,18,fi,right
38undefined,18,fi,right
39undefined,19,fi,right
39undefined,19,fi,right
40undefined,20,fi,left
40undefined,20,fi,left
41undefined,21,fi,left
41undefined,21,fi,left
42undefined,22,fi,left
42undefined,22,a,fi,left
43undefined,23,la,fi,middle
43undefined,23,fi,middle
44undefined,24,fi,middle
44undefined,24,fi,middle
45undefined,25,fi,middle
45undefined,25,fi,middle
46undefined,26,fi,middle
46undefined,26,fi,middle
47undefined,27,a,fi,middle
47undefined,27,la,fi,right
48undefined,28,fi,right
48undefined,28,fi,right
49undefined,29,fi,right
49undefined,29,fi,right
50undefined,20,fi,left
50undefined,20,fi,left
51undefined,21,fi,left
51undefined,21,fi,left
52undefined,22,fi,left
52undefined,22,a,fi,left
53undefined,23,la,fi,middle
53undefined,23,fi,middle
54undefined,24,fi,middle
54undefined,24,fi,middle
55undefined,25,fi,middle
55undefined,25,fi,middle
56undefined,26,fi,middle
56undefined,26,fi,middle
57undefined,27,a,fi,middle
57undefined,27,la,fi,right
58undefined,28,fi,right
58undefined,28,fi,right
59undefined,29,fi,right
59undefined,29,fi,right
60undefined,30,fi,left
60undefined,30,fi,left
61undefined,31,fi,left
61undefined,31,fi,left
62undefined,32,fi,left
62undefined,32,a,fi,left
63undefined,33,la,fi,middle
63undefined,33,fi,middle
64undefined,34,fi,middle
64undefined,34,fi,middle
65undefined,35,fi,middle
65undefined,35,fi,middle
66undefined,36,fi,middle
66undefined,36,fi,middle
67undefined,37,a,fi,middle
67undefined,37,la,fi,right
68undefined,38,fi,right
68undefined,38,fi,right
69undefined,39,fi,right
69undefined,39,fi,right
70undefined,30,fi,left
70undefined,30,fi,left
71undefined,31,fi,left
71undefined,31,fi,left
72undefined,32,fi,left
72undefined,32,a,fi,left
73undefined,33,la,fi,middle
73undefined,33,fi,middle
74undefined,34,fi,middle
74undefined,34,fi,middle
75undefined,35,fi,middle
75undefined,35,fi,middle
76undefined,36,fi,middle
76undefined,36,fi,middle
77undefined,37,a,fi,middle
77undefined,37,la,fi,right
78undefined,38,fi,right
78undefined,38,fi,right
79undefined,39,fi,right
79undefined,39,fi,right
80undefined,40,fi,left
80undefined,40,fi,left
