CID,TeamID,Attributes
00,0,f
01,0,f
02,1,f
03,1,a,f
04,2,a,f
05,2,f
06,3,f
07,3,f
08,4,f
09,4,a,f
010,5,a,f
011,5,f
012,6,f
013,6,f
014,7,f
015,7,f
016,8,a,f
017,8,a,f
018,9,f
019,9,f
10,10,fi
11,10,fi
12,11,fi
13,11,a,fi
14,12,a,fi
15,12,fi
16,13,fi
17,13,fi
18,14,fi
19,14,a,fi
110,15,a,fi
111,15,fi
112,16,fi
113,16,fi
114,17,fi
115,17,fi
116,18,a,fi
117,18,a,fi
118,19,fi
119,19,fi
20,20,fi
21,20,fi
22,21,fi
23,21,a,fi
24,22,a,fi
25,22,fi
26,23,fi
27,23,fi
28,24,fi
29,24,a,fi
210,25,a,fi
211,25,fi
212,26,fi
213,26,fi
214,27,fi
215,27,fi
216,28,a,fi
217,28,a,fi
218,29,fi
219,29,fi
30,30,fi
31,30,fi
32,31,fi
33,31,a,fi
34,32,a,fi
35,32,fi
36,33,fi
37,33,fi
38,34,fi
39,34,a,fi
310,35,a,fi
311,35,fi
312,36,fi
313,36,fi
314,37,fi
315,37,fi
316,38,a,fi
317,38,a,fi
318,39,fi
319,39,fi
40,40,fi
41,40,fi
42,41,fi
43,41,a,fi
44,42,a,fi
45,42,fi
46,43,fi
47,43,fi
48,44,fi
49,44,a,fi
410,45,a,fi
411,45,fi
412,46,fi
413,46,fi
414,47,fi
415,47,fi
416,48,a,fi
417,48,a,fi
418,49,fi
419,49,fi
50,50,fi
51,50,fi
52,51,fi
53,51,a,fi
54,52,a,fi
55,52,fi
56,53,fi
57,53,fi
58,54,fi
59,54,a,fi
510,55,a,fi
511,55,fi
512,56,fi
513,56,fi
514,57,fi
515,57,fi
516,58,a,fi
517,58,a,fi
518,59,fi
519,59,fi
60,60,fi
61,60,fi
62,61,fi
63,61,a,fi
64,62,a,fi
65,62,fi
66,63,fi
67,63,fi
68,64,fi
69,64,a,fi
610,65,a,fi
611,65,fi
612,66,fi
613,66,fi
614,67,fi
615,67,fi
616,68,a,fi
617,68,a,fi
618,69,fi
619,69,fi
70,70,fi
71,70,fi
72,71,fi
73,71,a,fi
74,72,a,fi
75,72,fi
76,73,fi
77,73,fi
78,74,fi
79,74,a,fi
710,75,a,fi
711,75,fi
712,76,fi
713,76,fi
714,77,fi
715,77,fi
716,78,a,fi
717,78,a,fi
718,79,fi
719,79,fi
80,80,fi
81,80,fi
82,81,fi
83,81,a,fi
84,82,a,fi
85,82,fi
86,83,fi
87,83,fi
88,84,fi
89,84,a,fi
810,85,a,fi
811,85,fi
812,86,fi
813,86,fi
814,87,fi
815,87,fi
816,88,a,fi
817,88,a,fi
818,89,fi
819,89,fi
90,90,fi
91,90,fi
92,91,fi
93,91,a,fi
94,92,a,fi
95,92,fi
96,93,fi
97,93,fi
98,94,fi
99,94,a,fi
910,95,a,fi
911,95,fi
912,96,fi
913,96,fi
914,97,fi
915,97,fi
916,98,a,fi
917,98,a,fi
918,99,fi
919,99,fi
100,100,bi
101,100,bi
102,101,bi
103,101,a,bi
104,102,a,bi
105,102,bi
106,103,bi
107,103,bi
108,104,bi
109,104,a,bi
1010,105,a,bi
1011,105,bi
1012,106,bi
1013,106,bi
1014,107,bi
1015,107,bi
1016,108,a,bi
1017,108,a,bi
1018,109,bi
1019,109,bi
110,110,bi
111,110,bi
112,111,bi
113,111,a,bi
114,112,a,bi
115,112,bi
116,113,bi
117,113,bi
118,114,bi
119,114,a,bi
1110,115,a,bi
1111,115,bi
1112,116,bi
1113,116,bi
1114,117,bi
1115,117,bi
1116,118,a,bi
1117,118,a,bi
1118,119,bi
1119,119,bi
120,120,bi
121,120,bi
122,121,bi
123,121,a,bi
124,122,a,bi
125,122,bi
126,123,bi
127,123,bi
128,124,bi
129,124,a,bi
1210,125,a,bi
1211,125,bi
1212,126,bi
1213,126,bi
1214,127,bi
1215,127,bi
1216,128,a,bi
1217,128,a,bi
1218,129,bi
1219,129,bi
130,130,bi
131,130,bi
132,131,bi
133,131,a,bi
134,132,a,bi
135,132,bi
136,133,bi
137,133,bi
138,134,bi
139,134,a,bi
1310,135,a,bi
1311,135,bi
1312,136,bi
1313,136,bi
1314,137,bi
1315,137,bi
1316,138,a,bi
1317,138,a,bi
1318,139,bi
1319,139,bi
140,140,bi
141,140,bi
142,141,bi
143,141,a,bi
144,142,a,bi
145,142,bi
146,143,bi
147,143,bi
148,144,bi
149,144,a,bi
1410,145,a,bi
1411,145,bi
1412,146,bi
1413,146,bi
1414,147,bi
1415,147,bi
1416,148,a,bi
1417,148,a,bi
1418,149,bi
1419,149,bi
150,150,bi
151,150,bi
152,151,bi
153,151,a,bi
154,152,a,bi
155,152,bi
156,153,bi
157,153,bi
158,154,bi
159,154,a,bi
1510,155,a,bi
1511,155,bi
1512,156,bi
1513,156,bi
1514,157,bi
1515,157,bi
1516,158,a,bi
1517,158,a,bi
1518,159,bi
1519,159,bi
160,160,bi
161,160,bi
162,161,bi
163,161,a,bi
164,162,a,bi
165,162,bi
166,163,bi
167,163,bi
168,164,bi
169,164,a,bi
1610,165,a,bi
1611,165,bi
1612,166,bi
1613,166,bi
1614,167,bi
1615,167,bi
1616,168,a,bi
1617,168,a,bi
1618,169,bi
1619,169,bi
170,170,bi
171,170,bi
172,171,bi
173,171,a,bi
174,172,a,bi
175,172,bi
176,173,bi
177,173,bi
178,174,bi
179,174,a,bi
1710,175,a,bi
1711,175,bi
1712,176,bi
1713,176,bi
1714,177,bi
1715,177,bi
1716,178,a,bi
1717,178,a,bi
1718,179,bi
1719,179,bi
180,180,bi
181,180,bi
182,181,bi
183,181,a,bi
184,182,a,bi
185,182,bi
186,183,bi
187,183,bi
188,184,bi
189,184,a,bi
1810,185,a,bi
1811,185,bi
1812,186,bi
1813,186,bi
1814,187,bi
1815,187,bi
1816,188,a,bi
1817,188,a,bi
1818,189,bi
1819,189,bi
190,190,b
191,190,b
192,191,b
193,191,a,b
194,192,a,b
195,192,b
196,193,b
197,193,b
198,194,b
199,194,a,b
1910,195,a,b
1911,195,b
1912,196,b
1913,196,b
1914,197,b
1915,197,b
1916,198,a,b
1917,198,a,b
1918,199,b
1919,199,b
