PID,StudentName,VIP,Score,CID,TeamID,Priority Score,Unsatisfied Preferences
405731,46,False,2,00,0,0 of 1,l
977090,2,False,4,01,0,0 of 1,b
346099,85,False,4,02,0,0 of 2,a;f
32874,24,False,2,03,0,NULL,
356372,33,False,2,04,1,0 of 1,b
75190,51,False,4,05,1,0 of 2,f;l
426055,43,False,1,06,1,0 of 1,b
371301,69,False,2,07,1,0 of 2,b;a
591319,3,False,1,08,2,0 of 2,l;a
974756,42,True,1,09,2,NULL,
634820,19,False,2,10,2,0 of 1,l
271466,80,False,4,11,2,0 of 2,f;b
585536,74,False,2,12,3,0 of 1,l
241843,72,True,1,13,3,0 of 1,a
25775,83,False,1,14,3,NULL,
361563,44,False,3,15,3,NULL,
643093,91,False,3,16,4,NULL,
461173,41,False,1,17,4,0 of 2,l;a
804130,29,False,3,18,4,NULL,
9039,97,False,2,19,4,0 of 2,a;f
828141,82,False,1,20,5,0 of 1,b
195948,73,False,3,21,5,NULL,
3490,76,False,4,22,5,NULL,
121833,98,False,2,23,5,NULL,
633699,37,False,1,24,6,0 of 2,l;b
750491,0,True,4,25,6,0 of 1,l
50382,65,False,2,26,6,0 of 2,b;a
177749,50,False,3,27,6,NULL,
288604,77,False,4,28,7,NULL,
128983,40,False,4,29,7,0 of 1,f
879928,47,False,4,30,7,0 of 2,l;a
411368,99,False,2,31,7,0 of 1,l
297147,11,False,3,32,8,NULL,
535646,70,False,3,33,8,NULL,
58780,89,False,3,34,8,0 of 1,l
709445,4,False,1,35,8,NULL,
493552,54,True,3,36,9,0 of 1,l
832879,81,False,2,37,9,NULL,
591957,55,False,1,38,9,0 of 1,f
417485,71,True,1,39,9,NULL,
563182,36,True,3,40,10,0 of 2,b;l
394849,62,False,4,41,10,0 of 1,f
123172,18,False,4,42,10,0 of 2,f;l
596054,26,False,2,43,10,NULL,
755956,86,False,1,44,11,NULL,
632436,49,False,3,45,11,0 of 2,a;b
257213,15,False,2,46,11,0 of 1,l
665614,96,True,1,47,11,0 of 1,f
185218,7,False,4,48,12,0 of 1,b
231194,52,False,4,49,12,NULL,
928694,61,True,2,50,12,0 of 2,a;b
744050,31,False,4,51,12,0 of 1,a
923574,5,False,3,52,13,NULL,
813616,60,False,4,53,13,0 of 1,f
585475,84,False,2,54,13,0 of 1,b
783928,20,False,1,55,13,NULL,
912314,94,False,3,56,14,0 of 1,f
103031,66,False,3,57,14,0 of 1,l
783718,93,False,4,58,14,NULL,
566362,34,False,1,59,14,NULL,
791319,32,False,1,60,15,0 of 2,b;l
349578,53,True,2,61,15,0 of 1,a
945112,79,False,3,62,15,0 of 1,b
993712,21,False,1,63,15,NULL,
880390,35,False,4,64,16,0 of 1,l
807515,30,False,2,65,16,NULL,
126101,92,False,1,66,16,0 of 2,l;f
943019,90,False,2,67,16,NULL,
972993,78,False,1,68,17,NULL,
2828,27,False,3,69,17,NULL,
18221,16,False,4,70,17,0 of 1,a
127620,95,False,1,71,17,0 of 1,b
130336,68,False,4,72,18,0 of 1,b
128968,87,False,3,73,18,0 of 2,a;l
271294,6,False,4,74,18,0 of 1,a
823262,56,False,3,75,18,0 of 1,b
908073,59,True,4,76,19,NULL,
672395,39,False,3,77,19,NULL,
99099,12,False,4,78,19,0 of 1,b
600789,8,False,3,79,19,NULL,
315584,58,False,4,80,20,0 of 1,f
815802,48,False,2,81,20,NULL,
163980,38,False,2,82,20,0 of 1,b
670809,28,False,3,83,20,0 of 1,f
182304,9,False,2,84,21,NULL,
911352,63,False,1,85,21,NULL,
201733,57,False,2,86,21,0 of 1,a
510702,13,False,1,87,21,0 of 2,b;f
657034,75,False,2,88,22,0 of 2,l;f
576870,22,False,1,89,22,NULL,
207612,23,False,3,90,22,NULL,
933787,1,False,1,91,22,NULL,
858687,17,False,2,92,23,NULL,
997534,14,False,4,93,23,0 of 2,l;a
601261,10,False,2,94,23,0 of 1,a
174099,67,False,1,95,23,NULL,
865578,64,True,1,96,24,0 of 2,a;b
839507,45,True,4,97,24,NULL,
307986,25,False,2,98,24,0 of 1,a
639930,88,False,4,99,24,0 of 2,l;b
